MC-cycles <epsilon> <|m|>
1151 0.182146 0.965
1152 0.182196 0.965
1153 0.182246 0.97
1154 0.182296 0.975
1155 0.182355 0.97
1156 0.182405 0.965
1157 0.182463 0.97
1158 0.182522 0.97
1159 0.182571 0.975
1160 0.182621 0.97
1161 0.182661 0.965
1162 0.182702 0.965
1163 0.182752 0.97
1164 0.182801 0.965
1165 0.182867 0.97
1166 0.182933 0.97
1167 0.182999 0.97
1168 0.183048 0.975
1169 0.183105 0.98
1170 0.183162 0.98
1171 0.183219 0.98
1172 0.183285 0.975
1173 0.183342 0.97
1174 0.183416 0.965
1175 0.183481 0.97
1176 0.183529 0.975
1177 0.183577 0.97
1178 0.183625 0.975
1179 0.183673 0.97
1180 0.18372 0.97
1181 0.183768 0.965
1182 0.183807 0.97
1183 0.183846 0.97
1184 0.183885 0.975
1185 0.183907 0.97
1186 0.183938 0.975
1187 0.183968 0.975
1188 0.184015 0.98
1189 0.184071 0.985
1190 0.184134 0.98
1191 0.184198 0.985
1192 0.184262 0.99
1193 0.184325 0.985
1194 0.184389 0.985
1195 0.18446 0.99
1196 0.18454 0.995
1197 0.184612 1
1198 0.184683 1
1199 0.184762 0.995
1200 0.184842 0.995
1201 0.184929 1
1202 0.185017 1
1203 0.185112 0.995
1204 0.185208 0.99
1205 0.185303 0.985
1206 0.185406 0.98
1207 0.18551 0.98
1208 0.185621 0.975
1209 0.185732 0.975
1210 0.185843 0.975
1211 0.185945 0.97
1212 0.18604 0.975
1213 0.186142 0.97
1214 0.186252 0.975
1215 0.186362 0.975
1216 0.186472 0.98
1217 0.186565 0.985
1218 0.186658 0.99
1219 0.186751 0.985
1220 0.186836 0.98
1221 0.186921 0.975
1222 0.186997 0.98
1223 0.187056 0.975
1224 0.187116 0.97
1225 0.187184 0.965
1226 0.187259 0.97
1227 0.187335 0.975
1228 0.18741 0.98
1229 0.187486 0.975
1230 0.187561 0.97
1231 0.187636 0.975
1232 0.187703 0.97
1233 0.187762 0.975
1234 0.187812 0.98
1235 0.187862 0.98
